name,total,percent,code
Albania,2,0.000730727,ALB
Algeria,2,0.000730727,DZA
Antigua And Barbuda,3,0.001096091,ATG
Argentina,52,0.018998904,ARG
Armenia,1,0.000365364,ARM
Australia,34,0.01242236,AUS
Austria,6,0.002192181,AUT
Azerbaijan,3,0.001096091,AZE
Bangladesh,3,0.001096091,BGD
Belarus,2,0.000730727,BLR
Belgium,13,0.004749726,BEL
Belize,1,0.000365364,BLZ
Bermuda,1,0.000365364,BMU
"Bolivia, Plurinational State Of",3,0.001096091,BOL
Bosnia And Herzegovina,1,0.000365364,BIH
Botswana,1,0.000365364,BWA
Brazil,319,0.116550968,BRA
Bulgaria,2,0.000730727,BGR
Burundi,1,0.000365364,BDI
Cambodia,1,0.000365364,KHM
Cameroon,3,0.001096091,CMR
Canada,62,0.022652539,CAN
Chile,23,0.008403361,CHL
China,26,0.009499452,CHN
Colombia,32,0.011691633,COL
Costa Rica,9,0.003288272,CRI
Croatia,1,0.000365364,HRV
Cuba,3,0.001096091,CUB
Czechia,6,0.002192181,CZE
Denmark,5,0.001826818,DNK
Dominican Republic,5,0.001826818,DOM
Ecuador,21,0.007672634,ECU
Egypt,13,0.004749726,EGY
El Salvador,5,0.001826818,SLV
Ethiopia,1,0.000365364,ETH
Fiji,2,0.000730727,FJI
Finland,9,0.003288272,FIN
France,23,0.008403361,FRA
Georgia,3,0.001096091,GEO
Germany,63,0.023017903,DEU
Ghana,9,0.003288272,GHA
Greece,14,0.00511509,GRC
Guatemala,13,0.004749726,GTM
Guyana,1,0.000365364,GUY
Haiti,1,0.000365364,HTI
Honduras,6,0.002192181,HND
Hong Kong,20,0.007307271,HKG
Hungary,9,0.003288272,HUN
India,70,0.025575448,IND
Indonesia,7,0.002557545,IDN
Iraq,2,0.000730727,IRQ
Ireland,7,0.002557545,IRL
Israel,3,0.001096091,ISR
Italy,26,0.009499452,ITA
Jamaica,1,0.000365364,JAM
Japan,8,0.002922908,JPN
Jordan,4,0.001461454,JOR
Kazakhstan,1,0.000365364,KAZ
Kenya,10,0.003653635,KEN
"Korea, Republic Of",11,0.004018999,KOR
Kyrgyzstan,1,0.000365364,KGZ
Latvia,2,0.000730727,LVA
Lebanon,3,0.001096091,LBN
Liberia,2,0.000730727,LBR
Libya,1,0.000365364,LBY
Malawi,5,0.001826818,MWI
Malaysia,12,0.004384362,MYS
Mexico,81,0.029594446,MEX
Mongolia,1,0.000365364,MNG
Morocco,3,0.001096091,MAR
Mozambique,4,0.001461454,MOZ
Myanmar,2,0.000730727,MMR
Nepal,3,0.001096091,NPL
Netherlands,26,0.009499452,NLD
New Zealand,10,0.003653635,NZL
Nicaragua,4,0.001461454,NIC
Nigeria,39,0.014249178,NGA
Norway,10,0.003653635,NOR
Pakistan,11,0.004018999,PAK
"Palestine, State Of",3,0.001096091,PSE
Panama,2,0.000730727,PAN
Paraguay,3,0.001096091,PRY
Peru,18,0.006576544,PER
Philippines,14,0.00511509,PHL
Poland,3,0.001096091,POL
Portugal,22,0.008037998,PRT
Puerto Rico,2,0.000730727,PRI
Romania,10,0.003653635,ROU
Russian Federation,14,0.00511509,RUS
Rwanda,2,0.000730727,RWA
Réunion,1,0.000365364,REU
Saudi Arabia,1,0.000365364,SAU
Senegal,1,0.000365364,SEN
Serbia,3,0.001096091,SRB
Sierra Leone,2,0.000730727,SLE
Singapore,11,0.004018999,SGP
Slovakia,3,0.001096091,SVK
Somalia,1,0.000365364,SOM
South Africa,18,0.006576544,ZAF
South Sudan,1,0.000365364,SSD
Spain,104,0.037997808,ESP
Sri Lanka,2,0.000730727,LKA
Sudan,1,0.000365364,SDN
Sweden,20,0.007307271,SWE
Switzerland,9,0.003288272,CHE
Taiwan,18,0.006576544,TWN
"Tanzania, United Republic Of",1,0.000365364,TZA
Thailand,2,0.000730727,THA
Timor-Leste,1,0.000365364,TLS
Togo,1,0.000365364,TGO
Trinidad And Tobago,5,0.001826818,TTO
Tunisia,3,0.001096091,TUN
Turkey,7,0.002557545,TUR
Uganda,1,0.000365364,UGA
Ukraine,30,0.010960906,UKR
United Arab Emirates,1,0.000365364,ARE
United Kingdom,87,0.031786628,GBR
United States,1064,0.388746803,USA
Uruguay,4,0.001461454,URY
"Venezuela, Bolivarian Republic Of",28,0.010230179,VEN
Viet Nam,1,0.000365364,VNM
Zimbabwe,3,0.001096091,ZWE
